ranking,municipio,uf,area urbana km²
1,São Paulo,São Paulo,914.5644
2,Rio de Janeiro,Rio de Janeiro,640.3365
3,Brasília,Distrito Federal,590.2166
4,Curitiba,Paraná,336.5066
5,Goiânia,Goiás,301.5507
6,Manaus,Amazonas,277.0854
7,Belo Horizonte,Minas Gerais,274.042
8,Fortaleza,Ceará,253.6912
9,Campo Grande,Mato Grosso do Sul,252.6269
10,Campinas,São Paulo,245.1428
11,Porto Alegre,Rio Grande do Sul,214.9087
12,Salvador,Bahia,196.2572
13,Uberlândia,Minas Gerais,172.8539
14,Teresina,Piauí,172.2605
15,São Luís,Maranhão,165.9574
16,Cuiabá,Mato Grosso,160.5942
17,Guarulhos,São Paulo,156.5236
18,Ribeirão Preto,São Paulo,149.4211
19,Belém,Pará,147.3517
20,Feira de Santana,Bahia,143.1515
21,Porto Velho,Rondônia,143.0943
22,Recife,Pernambuco,142.9853
23,Aparecida de Goiânia,Goiás,140.4331
24,Duque de Caxias,Rio de Janeiro,138.6772
25,Joinville,Santa Catarina,137.5985
26,Sorocaba,São Paulo,134.9586
27,São Gonçalo,Rio de Janeiro,129.8256
28,Londrina,Paraná,129.4435
29,São José dos Campos,São Paulo,128.9418
30,São José do Rio Preto,São Paulo,124.7914
31,Nova Iguaçu,Rio de Janeiro,122.9915
32,Boa Vista,Roraima,116.7697
33,Maceió,Alagoas,115.0845
34,Maringá,Paraná,112.696
35,Piracicaba,São Paulo,110.835
36,João Pessoa,Paraíba,110.8201
37,Florianópolis,Santa Catarina,108.7892
38,Jundiaí,São Paulo,107.222
39,Caxias do Sul,Rio Grande do Sul,104.7056
40,Palmas,Tocantins,104.4644
41,Anápolis,Goiás,103.3523
42,Camaçari,Bahia,102.4264
43,Contagem,Minas Gerais,102.3259
44,Natal,Rio Grande do Norte,99.3168
45,Uberaba,Minas Gerais,98.7215
46,Blumenau,Santa Catarina,98.2463
47,Ponta Grossa,Paraná,97.1042
48,Juiz de Fora,Minas Gerais,96.6963
49,Campos dos Goytacazes,Rio de Janeiro,95.1659
50,Santarém,Pará,95.0074
51,Serra,Espírito Santo,93.6867
52,Itaboraí,Rio de Janeiro,92.8138
53,Betim,Minas Gerais,92.0235
54,São José dos Pinhais,Paraná,91.4555
55,Cascavel,Paraná,91.2399
56,Rio Branco,Acre,87.42
57,Rondonópolis,Mato Grosso,87.0089
58,Petrolina,Pernambuco,86.3902
59,Várzea Grande,Mato Grosso,86.2432
60,Maricá,Rio de Janeiro,85.8766
61,Bauru,São Paulo,85.7806
62,Foz do Iguaçu,Paraná,85.2285
63,Aracaju,Sergipe,84.5693
64,São Bernardo do Campo,São Paulo,84.1272
65,Franca,São Paulo,82.3351
66,Macapá,Amapá,82.2877
67,Petrópolis,Rio de Janeiro,81.7758
68,Araraquara,São Paulo,80.171
69,Santa Maria,Rio Grande do Sul,80.0435
70,São Carlos,São Paulo,79.8655
71,Pelotas,Rio Grande do Sul,79.3942
72,Limeira,São Paulo,79.256
73,Dourados,Mato Grosso do Sul,78.5508
74,Vitória da Conquista,Bahia,77.513
75,Luziânia,Goiás,77.4962
76,Mogi das Cruzes,São Paulo,75.0322
77,Caucaia,Ceará,74.5909
78,Jaboatão dos Guararapes,Pernambuco,74.5196
79,Canoas,Rio Grande do Sul,74.4304
80,Indaiatuba,São Paulo,74.3594
81,Gravataí,Rio Grande do Sul,73.8747
82,Mossoró,Rio Grande do Norte,73.5522
83,Montes Claros,Minas Gerais,73.5097
84,Taubaté,São Paulo,71.4342
85,Niterói,Rio de Janeiro,70.5238
86,Santo André,São Paulo,70.4252
87,Sinop,Mato Grosso,69.6655
88,Marília,São Paulo,69.0917
89,Viamão,Rio Grande do Sul,68.4906
90,Divinópolis,Minas Gerais,67.7114
91,Campina Grande,Paraíba,66.6401
92,Sete Lagoas,Minas Gerais,66.1477
93,Chapecó,Santa Catarina,65.9964
94,Imperatriz,Maranhão,65.0654
95,Cotia,São Paulo,64.9582
96,Araruama,Rio de Janeiro,64.8404
97,Rio Grande,Rio Grande do Sul,64.7847
98,Magé,Rio de Janeiro,64.7222
99,Criciúma,Santa Catarina,64.6227
100,Atibaia,São Paulo,64.2782
101,Cariacica,Espírito Santo,63.193
102,Belford Roxo,Rio de Janeiro,62.8938
103,Ananindeua,Pará,62.7468
104,Marabá,Pará,62.4909
105,Itu,São Paulo,61.5983
106,Cabo Frio,Rio de Janeiro,61.4398
107,Vila Velha,Espírito Santo,60.9094
108,Presidente Prudente,São Paulo,60.8258
109,Osasco,São Paulo,60.619
110,Parauapebas,Pará,60.3047
111,Bragança Paulista,São Paulo,59.5211
112,Passo Fundo,Rio Grande do Sul,59.5094
113,Caruaru,Pernambuco,59.5068
114,Colombo,Paraná,59.4052
115,Americana,São Paulo,58.9911
116,Araçatuba,São Paulo,57.9594
117,Guarapuava,Paraná,57.9451
118,Novo Hamburgo,Rio Grande do Sul,56.8507
119,Caldas Novas,Goiás,56.7395
120,Suzano,São Paulo,56.1162
121,Sumaré,São Paulo,55.6952
122,Itajaí,Santa Catarina,55.4898
123,Jaraguá do Sul,Santa Catarina,55.1189
124,Esmeraldas,Minas Gerais,54.77
125,São José de Ribamar,Maranhão,54.1242
126,Teresópolis,Rio de Janeiro,54.0146
127,Araguaína,Tocantins,53.065
128,Ribeirão das Neves,Minas Gerais,52.9979
129,Saquarema,Rio de Janeiro,52.896
130,Itatiba,São Paulo,52.2255
131,Arapiraca,Alagoas,52.0741
132,Botucatu,São Paulo,51.4859
133,Palhoça,Santa Catarina,51.4672
134,Juazeiro do Norte,Ceará,51.4431
135,Brusque,Santa Catarina,51.1729
136,Rio Verde,Goiás,50.9535
137,Jacareí,São Paulo,50.334
138,Governador Valadares,Minas Gerais,49.9339
139,São Leopoldo,Rio Grande do Sul,49.9226
140,Parnamirim,Rio Grande do Norte,49.4703
141,Lages,Santa Catarina,49.2617
142,Três Lagoas,Mato Grosso do Sul,48.9569
143,Valinhos,São Paulo,48.3038
144,Mairiporã,São Paulo,48.2766
145,Santa Cruz do Sul,Rio Grande do Sul,48.2554
146,Rio Claro,São Paulo,48.2536
147,Paulista,Pernambuco,48.1825
148,Macaé,Rio de Janeiro,47.9675
149,Toledo,Paraná,46.989
150,Maracanaú,Ceará,46.4923
151,Parnaíba,Piauí,46.4331
152,Vitória,Espírito Santo,46.1485
153,Araucária,Paraná,45.816
154,Porto Nacional,Tocantins,44.9493
155,Senador Canedo,Goiás,44.5436
156,Itanhaém,São Paulo,44.3799
157,Castanhal,Pará,44.2795
158,Águas Lindas de Goiás,Goiás,43.8678
159,Itaquaquecetuba,São Paulo,43.8388
160,Porto Seguro,Bahia,43.7611
161,Aquiraz,Ceará,43.5969
162,Volta Redonda,Rio de Janeiro,43.5731
163,Barueri,São Paulo,43.5192
164,Cabo de Santo Agostinho,Pernambuco,43.4664
165,Nova Friburgo,Rio de Janeiro,43.4263
166,Ji-Paraná,Rondônia,43.3746
167,São José,Santa Catarina,43.0271
168,Mauá,São Paulo,42.5349
169,Santa Luzia,Minas Gerais,42.4958
170,Nova Lima,Minas Gerais,41.9786
171,Campo Largo,Paraná,41.9574
172,Ibiúna,São Paulo,40.8817
173,Pindamonhangaba,São Paulo,40.7393
174,Poços de Caldas,Minas Gerais,40.5967
175,Angra dos Reis,Rio de Janeiro,40.0574
176,Mogi Guaçu,São Paulo,39.9664
177,Vilhena,Rondônia,39.9324
178,Apucarana,Paraná,39.874
179,Olinda,Pernambuco,39.7902
180,Juazeiro,Bahia,39.7812
181,Ipatinga,Minas Gerais,39.78
182,Guarujá,São Paulo,39.742
183,Cachoeiro de Itapemirim,Espírito Santo,39.6456
184,Pouso Alegre,Minas Gerais,39.6361
185,Santa Bárbara d'Oeste,São Paulo,39.614
186,Paulínia,São Paulo,39.4967
187,Umuarama,Paraná,39.4245
188,Caraguatatuba,São Paulo,39.4236
189,Santos,São Paulo,39.0549
190,Paranaguá,Paraná,39.0004
191,Itapetininga,São Paulo,38.9853
192,Itumbiara,Goiás,38.9345
193,Araras,São Paulo,38.8556
194,Erechim,Rio Grande do Sul,38.8537
195,Paço do Lumiar,Maranhão,38.7607
196,Tubarão,Santa Catarina,38.4515
197,Resende,Rio de Janeiro,38.3743
198,Barretos,São Paulo,38.2615
199,Praia Grande,São Paulo,38.1867
200,Altamira,Pará,37.7369
201,Hortolândia,São Paulo,37.5767
202,Trindade,Goiás,37.5427
203,Guaratinguetá,São Paulo,37.3345
204,Barcarena,Pará,37.25
205,Barra do Corda,Maranhão,37.2177
206,Araranguá,Santa Catarina,37.2031
207,São Francisco do Sul,Santa Catarina,37.1409
208,Lagoa Santa,Minas Gerais,36.9656
209,Tatuí,São Paulo,36.7576
210,Linhares,Espírito Santo,36.7193
211,Patos de Minas,Minas Gerais,36.7118
212,Catalão,Goiás,36.1423
213,Lajeado,Rio Grande do Sul,36.0654
214,Santana de Parnaíba,São Paulo,35.9344
215,Arapongas,Paraná,35.8991
216,Bagé,Rio Grande do Sul,35.7873
217,Luís Eduardo Magalhães,Bahia,35.6976
218,Catanduva,São Paulo,35.5679
219,Itaguaí,Rio de Janeiro,35.3579
220,Ilhéus,Bahia,35.3282
221,São João de Meriti,Rio de Janeiro,35.2135
222,Gurupi,Tocantins,35.1928
223,Jaú,São Paulo,34.9947
224,Ubatuba,São Paulo,34.9754
225,Varginha,Minas Gerais,34.9464
226,Salto,São Paulo,34.9335
227,Araguari,Minas Gerais,34.8176
228,Alagoinhas,Bahia,34.6101
229,Peruíbe,São Paulo,34.6079
230,Ourinhos,São Paulo,34.3631
231,São Roque,São Paulo,34.2672
232,Bento Gonçalves,Rio Grande do Sul,34.1507
233,Jataí,Goiás,34.1225
234,Rio das Ostras,Rio de Janeiro,34.0953
235,Paranavaí,Paraná,34.0518
236,São Bento do Sul,Santa Catarina,33.8677
237,Sorriso,Mato Grosso,33.6405
238,Itaituba,Pará,33.422
239,Sertãozinho,São Paulo,33.3942
240,Ariquemes,Rondônia,33.2587
241,Cáceres,Mato Grosso,33.1476
242,Rio do Sul,Santa Catarina,33.1467
243,Itupeva,São Paulo,33.0567
244,Nossa Senhora do Socorro,Sergipe,32.9232
245,Alvorada,Rio Grande do Sul,32.8702
246,Macaíba,Rio Grande do Norte,32.7783
247,Imbituba,Santa Catarina,32.6586
248,Uruguaiana,Rio Grande do Sul,32.6457
249,Birigui,São Paulo,32.6374
250,Guarapari,Espírito Santo,32.6277
251,Carapicuíba,São Paulo,32.5745
252,Vinhedo,São Paulo,32.5579
253,Ponta Porã,Mato Grosso do Sul,32.4672
254,Mogi Mirim,São Paulo,32.402
255,São Mateus,Espírito Santo,32.2182
256,Crato,Ceará,32.2083
257,Cambé,Paraná,32.1643
258,Araxá,Minas Gerais,32.1064
259,São Pedro da Aldeia,Rio de Janeiro,32.0309
260,Lauro de Freitas,Bahia,31.9123
261,Simões Filho,Bahia,31.8856
262,Teixeira de Freitas,Bahia,31.769
263,Barreiras,Bahia,31.717
264,Caxias,Maranhão,31.699
265,São Gonçalo do Amarante,Rio Grande do Norte,31.692
266,Pato Branco,Paraná,31.5932
267,Formosa,Goiás,31.4867
268,Timon,Maranhão,31.4837
269,Avaré,São Paulo,31.4581
270,Sabará,Minas Gerais,31.3095
271,Jequié,Bahia,31.2712
272,Sobral,Ceará,31.1727
273,Fazenda Rio Grande,Paraná,31.0703
274,São Sebastião,São Paulo,30.9763
275,Tangará da Serra,Mato Grosso,30.9722
276,Embu das Artes,São Paulo,30.7732
277,Seropédica,Rio de Janeiro,30.2832
278,Barra do Garças,Mato Grosso,30.2738
279,Iranduba,Amazonas,30.2537
280,Barra Mansa,Rio de Janeiro,30.2485
281,Francisco Beltrão,Paraná,30.1467
282,Mairinque,São Paulo,30.0132
283,Bertioga,São Paulo,29.9018
284,Pirassununga,São Paulo,29.8603
285,Valparaíso de Goiás,Goiás,29.5384
286,São Pedro,São Paulo,29.516
287,Ipojuca,Pernambuco,29.3881
288,Concórdia,Santa Catarina,29.3628
289,Aracruz,Espírito Santo,29.3568
290,Paragominas,Pará,29.0748
291,Redenção,Pará,29.0742
292,Paulo Afonso,Bahia,29.0212
293,Almirante Tamandaré,Paraná,28.9641
294,Pinhais,Paraná,28.7961
295,Conselheiro Lafaiete,Minas Gerais,28.6898
