municipio,uf,populacao,ranking populacao,area urbana km²,ranking area urbana,habitantes por km²,ranking densidade
Taboão da Serra,São Paulo,273542,101,18.6092,516,14699.288523955891,1
Diadema,São Paulo,393237,63,27.5114,311,14293.601925020173,2
São Vicente,São Paulo,329911,83,26.2317,334,12576.805925654837,3
São João de Meriti,Rio de Janeiro,440962,53,35.2135,221,12522.526871796326,4
São Paulo,São Paulo,11451999,1,914.5644,1,12521.807102922441,5
Salvador,Bahia,2417678,5,196.2572,12,12318.926388433138,6
Mesquita,Rio de Janeiro,167127,176,13.8297,703,12084.643918523177,7
Osasco,São Paulo,728615,26,60.619,109,12019.581319388311,8
Carapicuíba,São Paulo,386984,64,32.5745,251,11879.96745920889,9
São Caetano do Sul,São Paulo,165655,178,15.3307,638,10805.442673850508,10
Santos,São Paulo,418608,56,39.0549,189,10718.450181667344,11
Santo André,São Paulo,748919,25,70.4252,86,10634.24740007838,12
Recife,Pernambuco,1488920,9,142.9853,22,10413.098409416913,13
Ferraz de Vasconcelos,São Paulo,179198,166,17.9475,536,9984.566095556484,14
Mauá,São Paulo,418261,57,42.5349,168,9833.360369955026,15
Rio de Janeiro,Rio de Janeiro,6211223,2,640.3365,2,9699.935893081216,16
São Bernardo do Campo,São Paulo,810729,21,84.1272,64,9636.942629732119,17
Fortaleza,Ceará,2428708,4,253.6912,8,9573.481460925723,18
Praia Grande,São Paulo,349935,77,38.1867,199,9163.792629370959,19
Belém,Pará,1303403,12,147.3517,19,8845.524008206217,20
Cametá,Pará,134184,221,15.1802,644,8839.409230444922,21
Olinda,Pernambuco,349976,76,39.7902,179,8795.532568320843,22
Vitória de Santo Antão,Pernambuco,134084,222,15.5025,629,8649.185615223352,23
Jaboatão dos Guararapes,Pernambuco,644037,32,74.5196,78,8642.518209974289,24
Balneário Camboriú,Santa Catarina,139155,214,16.1643,594,8608.786028470147,25
Belo Horizonte,Minas Gerais,2315560,6,274.042,7,8449.653702717103,26
Itaquaquecetuba,São Paulo,369275,69,43.8388,159,8423.474182687483,27
Maceió,Alagoas,957916,16,115.0845,33,8323.588319886692,28
Francisco Morato,São Paulo,165139,180,19.9368,476,8283.124673969744,29
Guarulhos,São Paulo,1291771,13,156.5236,17,8252.883271276665,30
Jandira,São Paulo,118045,258,14.4152,677,8188.925578555968,31
Embu das Artes,São Paulo,250691,116,30.7732,276,8146.406613546853,32
Itapevi,São Paulo,232297,129,28.5966,298,8123.238426945861,33
Belford Roxo,Rio de Janeiro,483087,43,62.8938,102,7680.995583030442,34
Vila Velha,Espírito Santo,467722,47,60.9094,107,7678.978942494919,35
Ananindeua,Pará,478778,46,62.7468,103,7630.317402640453,36
Natal,Rio Grande do Norte,751300,24,99.3168,44,7564.68190678717,37
Ibirité,Minas Gerais,170537,171,22.6038,409,7544.6163919341,38
João Pessoa,Paraíba,833932,20,110.8201,36,7525.096981504258,39
Manaus,Amazonas,2063689,7,277.0854,6,7447.844599535018,40
Maranguape,Ceará,105093,298,14.4167,675,7289.671006541025,41
Poá,São Paulo,103765,306,14.2376,687,7288.096308366578,42
Barueri,São Paulo,316473,88,43.5192,163,7272.031654993659,43
Guarujá,São Paulo,287634,95,39.742,182,7237.532081928439,44
Aracaju,Sergipe,602757,36,84.5693,63,7127.373645046134,45
Paulista,Pernambuco,342167,80,48.1825,147,7101.478752659161,46
Vitória,Espírito Santo,322869,87,46.1485,152,6996.3054053761225,47
São Gonçalo,Rio de Janeiro,896744,18,129.8256,27,6907.297174055039,48
Itabuna,Bahia,186708,161,27.1635,316,6873.488320724502,49
Niterói,Rio de Janeiro,481749,44,70.5238,85,6831.013076436608,50
Camboriú,Santa Catarina,103074,312,15.1456,646,6805.540883160786,51
Novo Gama,Goiás,103804,305,15.2589,642,6802.849484563108,52
Valparaíso de Goiás,Goiás,198861,153,29.5384,285,6732.287463098882,53
Coronel Fabriciano,Minas Gerais,104736,301,15.65,618,6692.3961661341855,54
Santa Rita,Paraíba,149910,201,22.7408,404,6592.1163723351865,55
Manacapuru,Amazonas,101883,315,15.502,630,6572.248742097793,56
Santo Antônio de Jesus,Bahia,103055,313,15.7516,611,6542.5099672414235,57
Franco da Rocha,São Paulo,144849,209,22.1636,419,6535.445505242831,58
Sobral,Ceará,203023,150,31.1727,272,6512.8461763017,59
Nova Iguaçu,Rio de Janeiro,785867,23,122.9915,31,6389.604159637048,60
Lauro de Freitas,Bahia,203331,149,31.9123,260,6371.555795100949,61
Caruaru,Pernambuco,378048,67,59.5068,113,6353.021839520861,62
Hortolândia,São Paulo,236641,126,37.5767,201,6297.546085739301,63
Campina Grande,Paraíba,419379,55,66.6401,91,6293.192837345682,64
São José,Santa Catarina,270299,104,43.0271,167,6282.0640944892875,65
São Luís,Maranhão,1037775,15,165.9574,15,6253.261379125004,66
